,ME150263,ME150266,ME150283,ME150290
AAA023D18,1335.0,1323.0,1288.0,1424.0
AAA023J06,418.0,357.0,351.0,402.0
AAA024D14,1413.0,1136.0,898.0,1247.0
AAA027J17,17371.0,15924.0,19261.0,16586.0
AAA027L06,2519.0,2345.0,2432.0,2430.0
AAA027M14,830.0,768.0,733.0,862.0
AAA028A23,1332.0,1311.0,1132.0,1180.0
AAA028E20,26238.0,24189.0,16137.0,24092.0
AAA028G02,419.0,394.0,304.0,377.0
AAA028I14,812.0,713.0,723.0,804.0
AAA041L13,371.0,306.0,284.0,324.0
AAA044D11,326.0,337.0,326.0,310.0
AAA044N04,480.0,433.0,369.0,459.0
AAA044O16,218.0,152.0,90.0,146.0
AAA278I18,125.0,119.0,229.0,147.0
AAA278O22,457.0,357.0,232.0,234.0
AB141P03,191.0,215.0,191.0,156.0
acIB-AMD-6,575.0,378.0,376.0,321.0
acIB-AMD-7,1366.0,1459.0,1450.0,1550.0
BIN_10,17023.0,14465.0,13016.0,16133.0
bin_7_acI-B2,0.0,0.0,0.0,0.0
MEint1363,1859.0,1642.0,1435.0,1643.0
MEint2297,2118.0,1916.0,1719.0,2110.0
MEint283,2725.0,2500.0,2719.0,2553.0
MEint3864,1529.0,1152.0,1203.0,1410.0
MEint4252,1662.0,1523.0,1621.0,2022.0
MEint885,52731.0,44936.0,42308.0,55002.0
TBepi2057,0.0,0.0,0.0,0.0
TBepi2754,0.0,0.0,0.0,0.0
TBepi3207,0.0,0.0,0.0,0.0
TBepi3475,0.0,0.0,0.0,0.0
TBepi4208,25.0,6.0,29.0,19.0
TBhypo2152,5.0,14.0,32.0,8.0
TBhypo3463,0.0,0.0,0.0,0.0
TBhypo3838,0.0,0.0,0.0,0.0
TBhypo680,0.0,0.0,0.0,0.0
